requester,preloaded,url,timestamp,connectivity,rumSpeedIndex
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T15:52:02+00:00,cable,190
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T15:55:02+00:00,dsl20,165
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T15:58:02+00:00,3g,476
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:02:02+00:00,cable,207
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:05:02+00:00,dsl20,156
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:08:02+00:00,3g,465
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:12:02+00:00,cable,202
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:15:02+00:00,dsl20,170
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:18:02+00:00,3g,463
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:22:02+00:00,cable,189
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:25:02+00:00,dsl20,170
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:28:02+00:00,3g,470
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:32:02+00:00,cable,200
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:35:02+00:00,dsl20,166
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:38:03+00:00,3g,477
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:42:02+00:00,cable,194
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:45:03+00:00,dsl20,167
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:48:02+00:00,3g,475
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:52:02+00:00,cable,215
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:55:02+00:00,dsl20,181
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T16:58:02+00:00,3g,497
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:02:04+00:00,cable,206
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:05:02+00:00,dsl20,184
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:08:03+00:00,3g,489
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:12:03+00:00,cable,208
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:15:02+00:00,dsl20,184
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:18:02+00:00,3g,489
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:22:03+00:00,cable,214
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:25:03+00:00,dsl20,188
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:28:02+00:00,3g,487
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:32:02+00:00,cable,211
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:35:02+00:00,dsl20,190
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:38:02+00:00,3g,488
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:42:03+00:00,cable,220
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:45:02+00:00,dsl20,182
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:48:02+00:00,3g,515
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:52:02+00:00,cable,224
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:55:02+00:00,dsl20,198
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T17:58:02+00:00,3g,513
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:02:02+00:00,cable,212
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:05:02+00:00,dsl20,196
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:08:03+00:00,3g,483
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:12:02+00:00,cable,227
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:15:03+00:00,dsl20,197
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:18:02+00:00,3g,464
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:22:02+00:00,cable,190
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:25:02+00:00,dsl20,169
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:28:02+00:00,3g,459
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:32:03+00:00,cable,199
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:35:03+00:00,dsl20,170
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:38:02+00:00,3g,468
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:42:02+00:00,cable,196
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:45:02+00:00,dsl20,172
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:48:02+00:00,3g,466
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:52:02+00:00,cable,191
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:55:03+00:00,dsl20,189
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T18:58:02+00:00,3g,469
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:02:03+00:00,cable,198
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:05:02+00:00,dsl20,159
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:08:02+00:00,3g,477
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:12:02+00:00,cable,188
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:15:02+00:00,dsl20,176
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:18:02+00:00,3g,469
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:22:02+00:00,cable,195
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:25:02+00:00,dsl20,161
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:28:02+00:00,3g,466
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:32:03+00:00,cable,205
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:35:02+00:00,dsl20,176
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:38:02+00:00,3g,478
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:42:02+00:00,cable,214
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:45:02+00:00,dsl20,163
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:48:02+00:00,3g,471
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:52:02+00:00,cable,199
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:55:02+00:00,dsl20,186
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T19:58:02+00:00,3g,470
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:02:02+00:00,cable,199
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:05:02+00:00,dsl20,180
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:08:03+00:00,3g,478
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:12:02+00:00,cable,190
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:15:02+00:00,dsl20,175
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:18:02+00:00,3g,470
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:22:02+00:00,cable,195
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:25:02+00:00,dsl20,176
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:28:02+00:00,3g,467
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:32:02+00:00,cable,205
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:35:02+00:00,dsl20,170
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:38:02+00:00,3g,469
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:42:02+00:00,cable,195
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:45:02+00:00,dsl20,168
alpha.liqw.it,true,https://stage.beschleunigerphysik.de/,2017-08-03T20:48:02+00:00,3g,468
