timestamp,rumSpeedIndex,speedIndex,group
2017-08-13T12:03:22+00:00,2731,0,1st-site-visit of https://stage.beschleunigerphysik.de/empty/ @ 3g
2017-08-13T12:18:21+00:00,2749,0,1st-site-visit of https://stage.beschleunigerphysik.de/empty/ @ 3g
2017-08-13T12:34:22+00:00,2739,0,1st-site-visit of https://stage.beschleunigerphysik.de/empty/ @ 3g
2017-08-13T12:47:22+00:00,2749,0,1st-site-visit of https://stage.beschleunigerphysik.de/empty/ @ 3g
2017-08-13T13:03:23+00:00,2756,0,1st-site-visit of https://stage.beschleunigerphysik.de/empty/ @ 3g
2017-08-13T13:18:24+00:00,2737,0,1st-site-visit of https://stage.beschleunigerphysik.de/empty/ @ 3g
2017-08-13T13:34:26+00:00,2749,0,1st-site-visit of https://stage.beschleunigerphysik.de/empty/ @ 3g
2017-08-13T09:08:13+00:00,10827,11871,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T09:23:58+00:00,10883,11715,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T09:39:47+00:00,13654,14539,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T09:53:04+00:00,18449,20415,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T10:08:27+00:00,14797,16964,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T10:24:23+00:00,15564,18981,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T10:39:37+00:00,14142,14982,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T10:53:15+00:00,14446,15728,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T11:23:25+00:00,10687,11841,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T11:39:39+00:00,12561,13840,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T11:53:08+00:00,11070,11732,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T12:08:59+00:00,12844,14970,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T12:23:57+00:00,11095,13665,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T12:39:55+00:00,16409,17656,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T12:53:23+00:00,14291,17171,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T13:10:06+00:00,18514,20183,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T13:24:03+00:00,14151,15850,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T13:41:12+00:00,16268,17255,1st-site-visit of https://www.desy.de/ @ 3g
2017-08-13T14:08:05+00:00,20266,10257,1st-site-visit of https://home.cern @ 3g
2017-08-13T14:22:25+00:00,19766,14684,1st-site-visit of https://home.cern @ 3g
2017-08-13T14:38:45+00:00,18770,8854,1st-site-visit of https://home.cern @ 3g
2017-08-13T14:53:17+00:00,20288,16439,1st-site-visit of https://home.cern @ 3g
2017-08-13T15:09:30+00:00,18450,9419,1st-site-visit of https://home.cern @ 3g
2017-08-13T15:28:51+00:00,21880,11702,1st-site-visit of https://home.cern @ 3g
2017-08-13T15:44:51+00:00,20801,17038,1st-site-visit of https://home.cern @ 3g
2017-08-13T15:58:20+00:00,19025,10749,1st-site-visit of https://home.cern @ 3g
2017-08-13T16:21:22+00:00,18383,11018,1st-site-visit of https://home.cern @ 3g
2017-08-13T16:36:38+00:00,18557,9581,1st-site-visit of https://home.cern @ 3g
2017-08-13T16:53:59+00:00,19719,9390,1st-site-visit of https://home.cern @ 3g
2017-08-13T17:07:38+00:00,18974,13317,1st-site-visit of https://home.cern @ 3g
2017-08-13T17:24:25+00:00,20255,11914,1st-site-visit of https://home.cern @ 3g
2017-08-13T17:38:45+00:00,19687,13848,1st-site-visit of https://home.cern @ 3g
2017-08-13T17:52:39+00:00,19913,9375,1st-site-visit of https://home.cern @ 3g
2017-08-13T18:19:23+00:00,18356,14798,1st-site-visit of https://home.cern @ 3g
2017-08-13T18:35:01+00:00,17821,9298,1st-site-visit of https://home.cern @ 3g
2017-08-13T18:54:37+00:00,21870,10272,1st-site-visit of https://home.cern @ 3g
2017-08-13T19:08:47+00:00,20706,9030,1st-site-visit of https://home.cern @ 3g
2017-08-13T19:23:56+00:00,19886,10981,1st-site-visit of https://home.cern @ 3g
2017-08-13T19:38:40+00:00,19650,10346,1st-site-visit of https://home.cern @ 3g
2017-08-13T19:54:47+00:00,18039,11998,1st-site-visit of https://home.cern @ 3g
2017-08-13T20:07:57+00:00,19540,10407,1st-site-visit of https://home.cern @ 3g
2017-08-13T20:24:54+00:00,19365,8417,1st-site-visit of https://home.cern @ 3g
2017-08-13T20:39:50+00:00,21370,9116,1st-site-visit of https://home.cern @ 3g
2017-08-13T20:55:21+00:00,18219,12374,1st-site-visit of https://home.cern @ 3g
2017-08-13T21:13:04+00:00,19666,9571,1st-site-visit of https://home.cern @ 3g
2017-08-13T21:45:18+00:00,18468,9760,1st-site-visit of https://home.cern @ 3g
2017-08-13T22:21:46+00:00,20234,11624,1st-site-visit of https://home.cern @ 3g
2017-08-13T22:38:26+00:00,20122,7594,1st-site-visit of https://home.cern @ 3g
2017-08-13T22:54:07+00:00,19616,10360,1st-site-visit of https://home.cern @ 3g
2017-08-13T23:06:37+00:00,17883,14454,1st-site-visit of https://home.cern @ 3g
2017-08-13T23:26:34+00:00,19628,15126,1st-site-visit of https://home.cern @ 3g
2017-08-13T23:53:30+00:00,19511,9884,1st-site-visit of https://home.cern @ 3g
2017-08-14T00:07:51+00:00,18685,11591,1st-site-visit of https://home.cern @ 3g
2017-08-14T00:22:49+00:00,18767,9028,1st-site-visit of https://home.cern @ 3g
2017-08-14T00:38:44+00:00,19852,11069,1st-site-visit of https://home.cern @ 3g
2017-08-14T00:55:43+00:00,17807,11513,1st-site-visit of https://home.cern @ 3g
2017-08-14T01:09:09+00:00,20752,10840,1st-site-visit of https://home.cern @ 3g
2017-08-14T01:27:00+00:00,20207,10384,1st-site-visit of https://home.cern @ 3g
2017-08-14T01:39:40+00:00,18709,9990,1st-site-visit of https://home.cern @ 3g
2017-08-14T01:54:17+00:00,19991,7817,1st-site-visit of https://home.cern @ 3g
2017-08-14T02:07:38+00:00,19821,10259,1st-site-visit of https://home.cern @ 3g
2017-08-14T02:22:10+00:00,18978,9739,1st-site-visit of https://home.cern @ 3g
2017-08-14T02:38:17+00:00,20718,10213,1st-site-visit of https://home.cern @ 3g
2017-08-14T02:54:06+00:00,18461,8719,1st-site-visit of https://home.cern @ 3g
2017-08-14T03:07:31+00:00,18908,10102,1st-site-visit of https://home.cern @ 3g
2017-08-14T03:23:47+00:00,22096,9265,1st-site-visit of https://home.cern @ 3g
2017-08-14T03:39:27+00:00,19657,11830,1st-site-visit of https://home.cern @ 3g
2017-08-14T03:54:58+00:00,19515,9411,1st-site-visit of https://home.cern @ 3g
2017-08-14T04:08:38+00:00,20637,9690,1st-site-visit of https://home.cern @ 3g
2017-08-14T04:24:19+00:00,21085,8380,1st-site-visit of https://home.cern @ 3g
2017-08-14T04:39:01+00:00,20331,11559,1st-site-visit of https://home.cern @ 3g
2017-08-14T04:55:21+00:00,19359,14580,1st-site-visit of https://home.cern @ 3g
2017-08-14T05:08:30+00:00,20828,11617,1st-site-visit of https://home.cern @ 3g
2017-08-14T05:24:35+00:00,19342,9353,1st-site-visit of https://home.cern @ 3g
2017-08-14T05:39:16+00:00,20607,9834,1st-site-visit of https://home.cern @ 3g
2017-08-14T05:57:30+00:00,19946,12693,1st-site-visit of https://home.cern @ 3g
2017-08-14T06:08:10+00:00,25426,11607,1st-site-visit of https://home.cern @ 3g
2017-08-14T06:24:25+00:00,21306,8972,1st-site-visit of https://home.cern @ 3g
2017-08-14T06:39:38+00:00,22690,12465,1st-site-visit of https://home.cern @ 3g
2017-08-14T06:55:28+00:00,19531,9777,1st-site-visit of https://home.cern @ 3g
2017-08-14T07:09:07+00:00,20319,10273,1st-site-visit of https://home.cern @ 3g
2017-08-14T07:23:40+00:00,20719,10488,1st-site-visit of https://home.cern @ 3g
2017-08-14T07:38:06+00:00,17182,13855,1st-site-visit of https://home.cern @ 3g
2017-08-14T07:55:02+00:00,17704,10457,1st-site-visit of https://home.cern @ 3g
2017-08-14T08:08:07+00:00,19753,11503,1st-site-visit of https://home.cern @ 3g
2017-08-14T08:24:26+00:00,20218,10419,1st-site-visit of https://home.cern @ 3g
2017-08-14T08:39:21+00:00,20278,9673,1st-site-visit of https://home.cern @ 3g
2017-08-14T08:54:43+00:00,19549,11212,1st-site-visit of https://home.cern @ 3g
2017-08-14T09:08:05+00:00,17361,13948,1st-site-visit of https://home.cern @ 3g
2017-08-14T09:24:45+00:00,20369,14797,1st-site-visit of https://home.cern @ 3g
2017-08-14T09:39:50+00:00,18470,12684,1st-site-visit of https://home.cern @ 3g
2017-08-14T09:55:55+00:00,16630,10586,1st-site-visit of https://home.cern @ 3g
2017-08-14T10:20:57+00:00,18623,11941,1st-site-visit of https://home.cern @ 3g
2017-08-14T10:37:58+00:00,20333,12611,1st-site-visit of https://home.cern @ 3g
2017-08-14T10:55:38+00:00,18989,11037,1st-site-visit of https://home.cern @ 3g
2017-08-14T11:08:59+00:00,19006,9409,1st-site-visit of https://home.cern @ 3g
2017-08-14T11:24:45+00:00,19573,9819,1st-site-visit of https://home.cern @ 3g
2017-08-14T11:38:35+00:00,19802,10155,1st-site-visit of https://home.cern @ 3g
2017-08-14T11:54:57+00:00,22402,10649,1st-site-visit of https://home.cern @ 3g
2017-08-14T12:08:18+00:00,18784,9320,1st-site-visit of https://home.cern @ 3g
2017-08-14T12:24:13+00:00,17666,9815,1st-site-visit of https://home.cern @ 3g
2017-08-14T12:38:31+00:00,19912,12382,1st-site-visit of https://home.cern @ 3g
2017-08-14T12:55:48+00:00,21953,16999,1st-site-visit of https://home.cern @ 3g
